Match No,Summary,Slug,Full Date,DTSTART,Location Name,Grouping
38,USA v Tonga,usa-tonga,Sunday 13 October 2019 06:45:00,2019-10-13T06:45:00Z,"Hanazono Rugby Stadium, Osaka Prefecture, Higashiosaka City",Pool C
39,Wales v Uruguay,wales-uruguay,Sunday 13 October 2019 09:15:00,2019-10-13T09:15:00Z,"Kumamoto Stadium, Kumamoto Prefecture, Kumamoto City",Pool D
40,Japan v Scotland,japan-scotland,Sunday 13 October 2019 11:45:00,2019-10-13T11:45:00Z,"International Stadium Yokohama, Kanagawa Prefecture, Yokohama City",Pool A
41,WINNER POOL C v Runner Up Pool D,winner-pool-c-runner-up-pool-d,Saturday 19 October 2019 08:15:00,2019-10-19T08:15:00Z,"Oita Stadium, Oita Prefecture",Quarter-Finals
42,Winner Pool B v Runner Up Pool A,winner-pool-b-runner-up-pool-a,Saturday 19 October 2019 11:15:00,2019-10-19T11:15:00Z,"Tokyo Stadium, Tokyo",Quarter-Finals
43,Winner Pool D v Runner Up Pool C,winner-pool-d-runner-up-pool-c,Sunday 20 October 2019 08:15:00,2019-10-20T08:15:00Z,"Oita Stadium, Oita Prefecture",Quarter-Finals
44,Winner Pool A v Runner Up Pool B,winner-pool-a-runner-up-pool-b,Sunday 20 October 2019 11:15:00,2019-10-20T11:15:00Z,"Tokyo Stadium, Tokyo",Quarter-Finals
45,Winner Quarter-Final 1 v Winner Quarter-Final 2,winner-quarter-final-1-winner-quarter-final-2,Saturday 26 October 2019 09:00:00,2019-10-26T09:00:00Z,"International Stadium Yokohama, Kanagawa Prefecture, Yokohama City",Semi-Finals
46,Winner Quarter-Final 3 v Winner Quarter-Final 4,winner-quarter-final-3-winner-quarter-final-4,Sunday 27 October 2019 09:00:00,2019-10-27T09:00:00Z,"International Stadium Yokohama, Kanagawa Prefecture, Yokohama City",Semi-Finals
47,Loser Semi-Final 1 v Loser Semi-Final 2,loser-semi-final-1-loser-semi-final-2,Friday 01 November 2019 09:00:00,2019-11-01T09:00:00Z,"Tokyo Stadium, Tokyo",Bronze Final
48,Winner Semi-Final 1 v Winner Semi-Final 2,winner-semi-final-1-winner-semi-final-2,Saturday 02 November 2019 09:00:00,2019-11-02T09:00:00Z,"International Stadium Yokohama, Kanagawa Prefecture, Yokohama City",Final
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
